phase,n,mae,bias,ref_mean,est_mean,kept,cov,mae_kept,bias_kept,config
Rest,169,4.002910541674586,0.35796715424530134,15.440849413802038,15.798816568047338,168,0.9940828402366864,3.9946755188409537,0.3921597824117907,psd 10-45
Walking,274,4.978300024065059,-1.4031645658465053,21.727069675335557,20.32390510948905,254,0.927007299270073,4.693270550200849,-1.2755477188391797,psd 10-45
2-Back,189,5.050480977974682,-1.3700651368296033,21.78673180349627,20.416666666666668,186,0.9841269841269841,5.0572742192728555,-1.4668290909314992,psd 10-45
Running,128,3.6155285986810775,-0.7579149220288384,26.77917688335109,26.021261961322253,105,0.8203125,2.55899746437148,-0.0012068695932702512,psd 10-45
ALL,760,4.54983507053319,-0.8946395563881221,21.19493104461082,20.300291488222694,713,0.9381578947368421,4.309318296577914,-0.7448291856388822,psd 10-45
Rest,169,6.4716145598368975,3.5754058213346185,15.440866368014493,19.016272189349113,168,0.9940828402366864,6.466760880272215,3.640063193644368,gold psd 10-45
Walking,274,6.503260036112743,-1.1226072246410896,21.727078027560797,20.604470802919707,254,0.927007299270073,6.413652806155326,-0.9948942360605897,gold psd 10-45
2-Back,189,6.806059131135468,-1.6974472270407994,21.786732941326513,20.089285714285715,186,0.9841269841269841,6.780683621587435,-1.8599760649465158,gold psd 10-45
Running,129,6.1928292251328925,-2.4679362570430117,26.786393826654038,24.318457569611027,105,0.813953488372093,6.129069064677766,-3.0253503452227695,gold psd 10-45
ALL,761,6.518812426194578,-0.4501078828060018,21.20349950761523,20.75339162480923,713,0.9369250985545335,6.4800042721677595,-0.42747525070908643,gold psd 10-45
