record,phase,start,end,est,ref,abs_err,err,sqa_ok,iscore,sqa_tier,sqa_stage,config
x001,Rest,32.25390625,64.25390625,18.75,21.164874292812037,2.414874292812037,-2.414874292812037,True,0.9837643686147992,diag,3,psd 10-45
x001,Rest,64.25390625,96.25390625,16.875,17.758672568760346,0.8836725687603462,-0.8836725687603462,True,0.986284995153192,diag,3,psd 10-45
x001,Rest,96.25390625,128.25390625,15.0,16.499999899288923,1.4999998992889232,-1.4999998992889232,True,0.983144740657395,diag,3,psd 10-45
x001,Rest,128.25390625,160.25390625,16.875,15.897605848090612,0.9773941519093885,0.9773941519093885,True,0.9824569876151,diag,3,psd 10-45
x001,Rest,160.25390625,192.25390625,16.875,17.045617873870146,0.17061787387014604,-0.17061787387014604,True,0.981051875638126,diag,3,psd 10-45
x001,Rest,192.25390625,224.25390625,16.875,15.454619086976024,1.4203809130239762,1.4203809130239762,True,0.980147471424094,diag,3,psd 10-45
x001,Rest,224.25390625,256.25390625,16.875,15.948683856009785,0.9263161439902152,0.9263161439902152,True,0.9820251040447024,diag,3,psd 10-45
x001,Rest,256.25390625,288.25390625,20.625,15.869230206063769,4.755769793936231,4.755769793936231,True,0.9768250641547356,diag,3,psd 10-45
x001,Rest,288.25390625,320.25390625,16.875,17.190402878879112,0.31540287887911234,-0.31540287887911234,True,0.9782756057740715,diag,3,psd 10-45
x001,Rest,320.25390625,352.25390625,18.75,16.403371723539664,2.3466282764603363,2.3466282764603363,True,0.9762360885804411,diag,3,psd 10-45
x001,Rest,352.25390625,384.25390625,30.0,20.073718581400207,9.926281418599793,9.926281418599793,True,0.9761362965936451,diag,3,psd 10-45
x001,Rest,384.25390625,416.25390625,11.25,19.57974265580023,8.329742655800231,-8.329742655800231,True,0.9732751788748897,diag,3,psd 10-45
x001,Rest,416.25390625,448.25390625,11.25,19.556751630706998,8.306751630706998,-8.306751630706998,True,0.9686385365150254,diag,3,psd 10-45
x001,Rest,448.25390625,480.25390625,16.875,20.462979160989605,3.5879791609896046,-3.5879791609896046,True,0.978476176206773,diag,3,psd 10-45
x001,Rest,480.25390625,512.25390625,15.0,21.960382537818923,6.960382537818923,-6.960382537818923,True,0.9794412630826819,diag,3,psd 10-45
x001,Rest,512.25390625,544.25390625,16.875,24.82915897961805,7.95415897961805,-7.95415897961805,True,0.9799280092115659,diag,3,psd 10-45
